Date,WaterUse,Error,ErrorUp,ErrorDown
1/1/2017,3513.016036,170.1009801,3683.117016,3342.915056
2/1/2017,3206.228621,193.4936612,3399.722283,3012.73496
3/1/2017,3630.918507,204.1361951,3835.054702,3426.782312
4/1/2017,3616.392388,211.5302516,3827.92264,3404.862137
5/1/2017,3765.128719,217.8381384,3982.966857,3547.290581
6/1/2017,4013.436014,223.6931185,4237.129133,3789.742896
7/1/2017,4136.782731,229.3058828,4366.088614,3907.476848
8/1/2017,4110.960068,234.7539445,4345.714012,3876.206123
9/1/2017,3777.985363,240.0712738,4018.056637,3537.914089
10/1/2017,3573.769042,245.2799916,3819.049034,3328.48905
11/1/2017,3446.207647,250.4055925,3696.61324,3195.802055
12/1/2017,3498.629896,255.4823153,3754.112211,3243.14758
1/1/2018,3440.928277,264.7856426,3705.713919,3176.142634
2/1/2018,3132.146857,271.3395743,3403.486432,2860.807283
3/1/2018,3556.133719,277.159009,3833.292729,3278.97471
4/1/2018,3541.359737,282.6643237,3824.024061,3258.695414
5/1/2018,3690.008679,287.9979803,3978.006659,3402.010699
6/1/2018,3938.285164,293.2119273,4231.497091,3645.073237
7/1/2018,4061.621018,298.3275034,4359.948521,3763.293514
8/1/2018,4035.794525,303.3559733,4339.150498,3732.438551
9/1/2018,3702.81847,308.3067556,4011.125225,3394.511714
10/1/2018,3498.601672,313.1934291,3811.795101,3185.408243
11/1/2018,3371.04011,318.0434061,3689.083516,3052.996704
12/1/2018,3423.462299,322.9127483,3746.375047,3100.549551
1/1/2019,3365.760659,331.6516846,3697.412344,3034.108975
2/1/2019,3056.979232,337.7268829,3394.706115,2719.25235
3/1/2019,3480.966092,343.1800014,3824.146093,3137.786091
4/1/2019,3466.192109,348.3739918,3814.566101,3117.818117
5/1/2019,3614.84105,353.4319575,3968.273008,3261.409093
6/1/2019,3863.117535,358.3981145,4221.51565,3504.719421
7/1/2019,3986.453389,363.2899915,4349.74338,3623.163397
8/1/2019,3960.626896,368.1165952,4328.743491,3592.510301
9/1/2019,3627.650841,372.8860827,4000.536923,3254.764758
10/1/2019,3423.434043,377.612264,3801.046307,3045.821779
11/1/2019,3295.872481,382.3265954,3678.199076,2913.545885
12/1/2019,3348.29467,387.1014803,3735.39615,2961.19319
1/1/2020,3290.59303,395.5348048,3686.127835,2895.058226
2/1/2020,2981.811604,401.33189,3383.143494,2580.479714
3/1/2020,3405.798463,406.5728373,3812.3713,2999.225626
4/1/2020,3391.02448,411.5863459,3802.610826,2979.438134
5/1/2020,3539.673422,416.4841234,3956.157545,3123.189298
6/1/2020,3787.949906,421.3060025,4209.255909,3366.643904
7/1/2020,3911.28576,426.0674853,4337.353245,3485.218275
8/1/2020,3885.459267,430.7764784,4316.235745,3454.682789
9/1/2020,3552.483212,435.4406638,3987.923876,3117.042548
10/1/2020,3348.266415,440.0744095,3788.340824,2908.192005
11/1/2020,3220.704852,444.7125017,3665.417354,2775.99235
12/1/2020,3273.127041,449.4396907,3722.566732,2823.687351
1/1/2021,3215.425401,457.6857988,3673.1112,2757.739603
2/1/2021,2906.643975,463.301944,3369.945919,2443.342031
3/1/2021,3330.630834,468.4058046,3799.036639,2862.22503
4/1/2021,3315.856851,473.3030419,3789.159893,2842.553809
5/1/2021,3464.505793,478.097761,3942.603554,2986.408032
6/1/2021,3712.782277,482.8269408,4195.609218,3229.955337
7/1/2021,3836.118131,487.5048246,4323.622956,3348.613306
8/1/2021,3810.291638,492.138689,4302.430327,3318.152949
9/1/2021,3477.315583,496.7360276,3974.051611,2980.579555
10/1/2021,3273.098786,501.3117977,3774.410583,2771.786988
11/1/2021,3145.537223,505.9035102,3651.440733,2639.633713
12/1/2021,3197.959412,510.6056052,3708.565018,2687.353807
