Date,Projection,Error,ErrorUp,ErrorDown
2016,554263.89,84656.7171,638920.6071,469607.1729
2017,550904.8453,86071.54953,636976.3948,464833.2957
2018,535265.3593,107544.0019,642809.3612,427721.3575
2019,518503.6458,127748.9447,646252.5904,390754.7011
2020,501639.3793,145362.9749,647002.3542,356276.4044
2021,484765.7412,161078.1731,645843.9142,323687.5681
2022,467891.2466,175392.2315,643283.4781,292499.0152
2023,451016.6739,188623.2625,639639.9364,262393.4113
2024,434142.0939,200985.1721,635127.2661,233156.9218
2025,417267.5133,212629.5935,629897.1069,204637.9198
