CountyNAME,FIPS
Whitley,18183
White,18181
Wells,18179
Wayne,18177
Washington,18175
Warrick,18173
Warren,18171
Wabash,18169
Vigo,18167
Vermillion,18165
Vanderburgh,18163
Union,18161
Tipton,18159
Tippecanoe,18157
Switzerland,18155
Sullivan,18153
Steuben,18151
Starke,18149
Spencer,18147
Shelby,18145
Scott,18143
St. Joseph,18141
Rush,18139
Ripley,18137
Randolph,18135
Putnam,18133
Pulaski,18131
Posey,18129
Porter,18127
Pike,18125
Perry,18123
Parke,18121
Owen,18119
Orange,18117
Ohio,18115
Noble,18113
Newton,18111
Morgan,18109
Montgomery,18107
Monroe,18105
Miami,18103
Martin,18101
Marshall,18099
Marion,18097
Madison,18095
Lawrence,18093
LaPorte,18091
Lake,18089
LaGrange,18087
Kosciusko,18085
Knox,18083
Johnson,18081
Jennings,18079
Jefferson,18077
Jay,18075
Jasper,18073
Jackson,18071
Huntington,18069
Howard,18067
Henry,18065
Hendricks,18063
Harrison,18061
Hancock,18059
Hamilton,18057
Greene,18055
Grant,18053
Gibson,18051
Fulton,18049
Franklin,18047
Fountain,18045
Floyd,18043
Fayette,18041
Elkhart,18039
Dubois,18037
Delaware,18035
DeKalb,18033
Decatur,18031
Dearborn,18029
Daviess,18027
Crawford,18025
Clinton,18023
Clay,18021
Clark,18019
Cass,18017
Carroll,18015
Brown,18013
Boone,18011
Blackford,18009
Benton,18007
Bartholomew,18005
Allen,18003
Adams,18001
