Date ,Total Water Used (MG)
1/1/2008,4289.461
2/1/2008,4059.13
3/1/2008,4293.462
4/1/2008,4241.133
5/1/2008,4417.928
6/1/2008,4590.908
7/1/2008,4660.826
8/1/2008,4827.629
9/1/2008,4343.528
10/1/2008,4257.561
11/1/2008,3705.466
12/1/2008,3769.96
1/1/2009,3977.356
2/1/2009,3523.131
3/1/2009,3828.18
4/1/2009,4071.344
5/1/2009,4284.946
6/1/2009,4324.014
7/1/2009,4567.713
8/1/2009,4645.077
9/1/2009,4333.047
10/1/2009,3698.683
11/1/2009,3929.765
12/1/2009,3973.944
1/1/2010,3609.415
2/1/2010,3150.182
3/1/2010,3805.957
4/1/2010,3723.36
5/1/2010,3848.118
6/1/2010,4160.56
7/1/2010,4282.207
8/1/2010,4568.528
9/1/2010,3982.065
10/1/2010,3800.614
11/1/2010,3785.134
12/1/2010,3743.403
1/1/2011,3679.021
2/1/2011,3383.454
3/1/2011,3784.557
4/1/2011,3905.109
5/1/2011,3930.553
6/1/2011,4180.665
7/1/2011,4196.268
8/1/2011,4121.466
9/1/2011,3927.296
10/1/2011,3796.929
11/1/2011,3618.041
12/1/2011,3603.229
1/1/2012,3339.83
2/1/2012,3301.616
3/1/2012,3701.188
4/1/2012,3624.657
5/1/2012,3696.319
6/1/2012,3895.065
7/1/2012,4159.495
8/1/2012,3932.44231
9/1/2012,3543.953
10/1/2012,3501.587
11/1/2012,3405.54
12/1/2012,3456.523
1/1/2013,3891.067
2/1/2013,3601.835
3/1/2013,3963.721
4/1/2013,3874.156
5/1/2013,3762.714
6/1/2013,4085.171
7/1/2013,4233.569
8/1/2013,3863.259
9/1/2013,3849.014
10/1/2013,3671.443
11/1/2013,3488.305
12/1/2013,3604.203
1/1/2014,3537.459
2/1/2014,3176.013
3/1/2014,3587.964
4/1/2014,3571.191
5/1/2014,3585.984
6/1/2014,3945.054
7/1/2014,4061.569
8/1/2014,3852.948
9/1/2014,3613.027
10/1/2014,3371.073
11/1/2014,3466.394
12/1/2014,3478.857
1/1/2015,3449.023
2/1/2015,3019.506
3/1/2015,3656.81
4/1/2015,3540.571
5/1/2015,3655.752
6/1/2015,4263.912
7/1/2015,4264.801
8/1/2015,4329.749
9/1/2015,4079.472
10/1/2015,3985.479
11/1/2015,3696.885
12/1/2015,3767.287
1/1/2016,3384.272
2/1/2016,3161.009
3/1/2016,3569.213
4/1/2016,3506.311
5/1/2016,4213.254
6/1/2016,4184.632
7/1/2016,4313.422
8/1/2016,4365.985
9/1/2016,3837.923
10/1/2016,3585.253
11/1/2016,3417.242
12/1/2016,3565.062
